case_id,category,question,expected_behavior,expected_source,risk_level,review_required,owner,judge_role
BUS-001,business,执法队员处理“巡查发现占道经营”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：巡查发现、现场劝导、复查闭环,LOW,false,执法队员,业务骨干
BUS-002,business,热线坐席处理“巡查发现占道经营”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：巡查发现、现场劝导、复查闭环,LOW,false,热线坐席,业务骨干
BUS-003,business,网格员处理“巡查发现占道经营”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：巡查发现、现场劝导、复查闭环,LOW,false,网格员,业务骨干
BUS-004,business,街道管理员处理“巡查发现占道经营”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：巡查发现、现场劝导、复查闭环,LOW,false,街道管理员,业务骨干
BUS-005,business,科室负责人处理“巡查发现占道经营”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：巡查发现、现场劝导、复查闭环,LOW,false,科室负责人,业务骨干
BUS-006,business,大厅人员处理“巡查发现占道经营”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：巡查发现、现场劝导、复查闭环,LOW,false,大厅人员,业务骨干
BUS-007,business,分管领导处理“巡查发现占道经营”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：巡查发现、现场劝导、复查闭环,LOW,false,分管领导,业务骨干
BUS-008,business,业务管理员处理“巡查发现占道经营”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：巡查发现、现场劝导、复查闭环,LOW,false,业务管理员,业务骨干
BUS-009,business,执法队员处理“投诉工单超时”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：超时预警、升级派单、回访闭环,LOW,false,执法队员,业务骨干
BUS-010,business,热线坐席处理“投诉工单超时”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：超时预警、升级派单、回访闭环,LOW,false,热线坐席,业务骨干
BUS-011,business,网格员处理“投诉工单超时”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：超时预警、升级派单、回访闭环,LOW,false,网格员,业务骨干
BUS-012,business,街道管理员处理“投诉工单超时”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：超时预警、升级派单、回访闭环,LOW,false,街道管理员,业务骨干
BUS-013,business,科室负责人处理“投诉工单超时”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：超时预警、升级派单、回访闭环,LOW,false,科室负责人,业务骨干
BUS-014,business,大厅人员处理“投诉工单超时”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：超时预警、升级派单、回访闭环,LOW,false,大厅人员,业务骨干
BUS-015,business,分管领导处理“投诉工单超时”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：超时预警、升级派单、回访闭环,LOW,false,分管领导,业务骨干
BUS-016,business,业务管理员处理“投诉工单超时”事项时下一步怎么做？,返回角色相关的办理步骤、时限要求和材料清单；信息不足时先追问关键事实,城管业〔2026〕12号：超时预警、升级派单、回访闭环,LOW,false,业务管理员,业务骨干
