case_id,category,question,expected_behavior,expected_source,risk_level,review_required,owner,judge_role
POL-001,policy_regulation,占道经营巡查流程，一线队员现场遇到该事项时应怎么处理？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-002,policy_regulation,占道经营巡查流程，热线坐席收到咨询时应如何答复？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-003,policy_regulation,占道经营巡查流程，复查阶段需要关注哪些闭环要求？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,街道管理员,业务骨干
POL-004,policy_regulation,占道经营巡查流程，需要引用哪些现行制度依据？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,执法队员,业务骨干
POL-005,policy_regulation,占道经营巡查流程，如果材料不足应先追问哪些事实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-006,policy_regulation,占道经营巡查流程，普通群众询问时如何说明办理流程？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-007,policy_regulation,占道经营巡查流程，网格员上报后如何流转？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,街道管理员,业务骨干
POL-008,policy_regulation,占道经营巡查流程，街道管理员需要看哪些时限？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,执法队员,业务骨干
POL-009,policy_regulation,占道经营巡查流程，形成处置记录时应写明哪些要素？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-010,policy_regulation,占道经营巡查流程，哪些情形应提醒转人工核实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-011,policy_regulation,群众投诉首次响应时限，一线队员现场遇到该事项时应怎么处理？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,街道管理员,业务骨干
POL-012,policy_regulation,群众投诉首次响应时限，热线坐席收到咨询时应如何答复？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,执法队员,业务骨干
POL-013,policy_regulation,群众投诉首次响应时限，复查阶段需要关注哪些闭环要求？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-014,policy_regulation,群众投诉首次响应时限，需要引用哪些现行制度依据？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-015,policy_regulation,群众投诉首次响应时限，如果材料不足应先追问哪些事实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,街道管理员,业务骨干
POL-016,policy_regulation,群众投诉首次响应时限，普通群众询问时如何说明办理流程？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,执法队员,业务骨干
POL-017,policy_regulation,群众投诉首次响应时限，网格员上报后如何流转？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-018,policy_regulation,群众投诉首次响应时限，街道管理员需要看哪些时限？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-019,policy_regulation,群众投诉首次响应时限，形成处置记录时应写明哪些要素？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,街道管理员,业务骨干
POL-020,policy_regulation,群众投诉首次响应时限，哪些情形应提醒转人工核实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,执法队员,业务骨干
POL-021,policy_regulation,夜间施工噪声投诉处置，一线队员现场遇到该事项时应怎么处理？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-022,policy_regulation,夜间施工噪声投诉处置，热线坐席收到咨询时应如何答复？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-023,policy_regulation,夜间施工噪声投诉处置，复查阶段需要关注哪些闭环要求？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-024,policy_regulation,夜间施工噪声投诉处置，需要引用哪些现行制度依据？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-025,policy_regulation,夜间施工噪声投诉处置，如果材料不足应先追问哪些事实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-026,policy_regulation,夜间施工噪声投诉处置，普通群众询问时如何说明办理流程？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-027,policy_regulation,夜间施工噪声投诉处置，网格员上报后如何流转？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-028,policy_regulation,夜间施工噪声投诉处置，街道管理员需要看哪些时限？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-029,policy_regulation,夜间施工噪声投诉处置，形成处置记录时应写明哪些要素？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-030,policy_regulation,夜间施工噪声投诉处置，哪些情形应提醒转人工核实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-031,policy_regulation,共享单车乱停放治理，一线队员现场遇到该事项时应怎么处理？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-032,policy_regulation,共享单车乱停放治理，热线坐席收到咨询时应如何答复？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-033,policy_regulation,共享单车乱停放治理，复查阶段需要关注哪些闭环要求？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-034,policy_regulation,共享单车乱停放治理，需要引用哪些现行制度依据？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-035,policy_regulation,共享单车乱停放治理，如果材料不足应先追问哪些事实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-036,policy_regulation,共享单车乱停放治理，普通群众询问时如何说明办理流程？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-037,policy_regulation,共享单车乱停放治理，网格员上报后如何流转？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-038,policy_regulation,共享单车乱停放治理，街道管理员需要看哪些时限？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-039,policy_regulation,共享单车乱停放治理，形成处置记录时应写明哪些要素？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-040,policy_regulation,共享单车乱停放治理，哪些情形应提醒转人工核实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-041,policy_regulation,户外广告牌巡查要求，一线队员现场遇到该事项时应怎么处理？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-042,policy_regulation,户外广告牌巡查要求，热线坐席收到咨询时应如何答复？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-043,policy_regulation,户外广告牌巡查要求，复查阶段需要关注哪些闭环要求？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,街道管理员,业务骨干
POL-044,policy_regulation,户外广告牌巡查要求，需要引用哪些现行制度依据？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,执法队员,业务骨干
POL-045,policy_regulation,户外广告牌巡查要求，如果材料不足应先追问哪些事实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-046,policy_regulation,户外广告牌巡查要求，普通群众询问时如何说明办理流程？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-047,policy_regulation,户外广告牌巡查要求，网格员上报后如何流转？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,街道管理员,业务骨干
POL-048,policy_regulation,户外广告牌巡查要求，街道管理员需要看哪些时限？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,执法队员,业务骨干
POL-049,policy_regulation,户外广告牌巡查要求，形成处置记录时应写明哪些要素？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-050,policy_regulation,户外广告牌巡查要求，哪些情形应提醒转人工核实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-051,policy_regulation,餐饮油烟扰民工单处理，一线队员现场遇到该事项时应怎么处理？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-052,policy_regulation,餐饮油烟扰民工单处理，热线坐席收到咨询时应如何答复？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-053,policy_regulation,餐饮油烟扰民工单处理，复查阶段需要关注哪些闭环要求？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-054,policy_regulation,餐饮油烟扰民工单处理，需要引用哪些现行制度依据？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-055,policy_regulation,餐饮油烟扰民工单处理，如果材料不足应先追问哪些事实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-056,policy_regulation,餐饮油烟扰民工单处理，普通群众询问时如何说明办理流程？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-057,policy_regulation,餐饮油烟扰民工单处理，网格员上报后如何流转？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-058,policy_regulation,餐饮油烟扰民工单处理，街道管理员需要看哪些时限？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-059,policy_regulation,餐饮油烟扰民工单处理，形成处置记录时应写明哪些要素？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-060,policy_regulation,餐饮油烟扰民工单处理，哪些情形应提醒转人工核实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-061,policy_regulation,建筑垃圾运输车辆检查，一线队员现场遇到该事项时应怎么处理？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-062,policy_regulation,建筑垃圾运输车辆检查，热线坐席收到咨询时应如何答复？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-063,policy_regulation,建筑垃圾运输车辆检查，复查阶段需要关注哪些闭环要求？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,街道管理员,业务骨干
POL-064,policy_regulation,建筑垃圾运输车辆检查，需要引用哪些现行制度依据？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,执法队员,业务骨干
POL-065,policy_regulation,建筑垃圾运输车辆检查，如果材料不足应先追问哪些事实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-066,policy_regulation,建筑垃圾运输车辆检查，普通群众询问时如何说明办理流程？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-067,policy_regulation,建筑垃圾运输车辆检查，网格员上报后如何流转？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,街道管理员,业务骨干
POL-068,policy_regulation,建筑垃圾运输车辆检查，街道管理员需要看哪些时限？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,执法队员,业务骨干
POL-069,policy_regulation,建筑垃圾运输车辆检查，形成处置记录时应写明哪些要素？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,热线坐席,业务骨干
POL-070,policy_regulation,建筑垃圾运输车辆检查，哪些情形应提醒转人工核实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管规〔2026〕8号,LOW,false,网格员,业务骨干
POL-071,policy_regulation,无照摊点劝导复查闭环，一线队员现场遇到该事项时应怎么处理？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-072,policy_regulation,无照摊点劝导复查闭环，热线坐席收到咨询时应如何答复？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-073,policy_regulation,无照摊点劝导复查闭环，复查阶段需要关注哪些闭环要求？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-074,policy_regulation,无照摊点劝导复查闭环，需要引用哪些现行制度依据？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-075,policy_regulation,无照摊点劝导复查闭环，如果材料不足应先追问哪些事实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-076,policy_regulation,无照摊点劝导复查闭环，普通群众询问时如何说明办理流程？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-077,policy_regulation,无照摊点劝导复查闭环，网格员上报后如何流转？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-078,policy_regulation,无照摊点劝导复查闭环，街道管理员需要看哪些时限？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-079,policy_regulation,无照摊点劝导复查闭环，形成处置记录时应写明哪些要素？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-080,policy_regulation,无照摊点劝导复查闭环，哪些情形应提醒转人工核实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-081,policy_regulation,市容环境责任区检查，一线队员现场遇到该事项时应怎么处理？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城市市容和环境卫生管理条例,LOW,false,热线坐席,业务骨干
POL-082,policy_regulation,市容环境责任区检查，热线坐席收到咨询时应如何答复？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城市市容和环境卫生管理条例,LOW,false,网格员,业务骨干
POL-083,policy_regulation,市容环境责任区检查，复查阶段需要关注哪些闭环要求？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城市市容和环境卫生管理条例,LOW,false,街道管理员,业务骨干
POL-084,policy_regulation,市容环境责任区检查，需要引用哪些现行制度依据？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城市市容和环境卫生管理条例,LOW,false,执法队员,业务骨干
POL-085,policy_regulation,市容环境责任区检查，如果材料不足应先追问哪些事实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城市市容和环境卫生管理条例,LOW,false,热线坐席,业务骨干
POL-086,policy_regulation,市容环境责任区检查，普通群众询问时如何说明办理流程？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城市市容和环境卫生管理条例,LOW,false,网格员,业务骨干
POL-087,policy_regulation,市容环境责任区检查，网格员上报后如何流转？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城市市容和环境卫生管理条例,LOW,false,街道管理员,业务骨干
POL-088,policy_regulation,市容环境责任区检查，街道管理员需要看哪些时限？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城市市容和环境卫生管理条例,LOW,false,执法队员,业务骨干
POL-089,policy_regulation,市容环境责任区检查，形成处置记录时应写明哪些要素？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城市市容和环境卫生管理条例,LOW,false,热线坐席,业务骨干
POL-090,policy_regulation,市容环境责任区检查，哪些情形应提醒转人工核实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城市市容和环境卫生管理条例,LOW,false,网格员,业务骨干
POL-091,policy_regulation,渣土撒漏投诉转派，一线队员现场遇到该事项时应怎么处理？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-092,policy_regulation,渣土撒漏投诉转派，热线坐席收到咨询时应如何答复？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-093,policy_regulation,渣土撒漏投诉转派，复查阶段需要关注哪些闭环要求？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-094,policy_regulation,渣土撒漏投诉转派，需要引用哪些现行制度依据？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-095,policy_regulation,渣土撒漏投诉转派，如果材料不足应先追问哪些事实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-096,policy_regulation,渣土撒漏投诉转派，普通群众询问时如何说明办理流程？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
POL-097,policy_regulation,渣土撒漏投诉转派，网格员上报后如何流转？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,热线坐席,业务骨干
POL-098,policy_regulation,渣土撒漏投诉转派，街道管理员需要看哪些时限？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,网格员,业务骨干
POL-099,policy_regulation,渣土撒漏投诉转派，形成处置记录时应写明哪些要素？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,街道管理员,业务骨干
POL-100,policy_regulation,渣土撒漏投诉转派，哪些情形应提醒转人工核实？,返回流程说明，引用有效制度文件；依据不足时说明信息不足并建议补充材料,城管业〔2026〕12号,LOW,false,执法队员,业务骨干
LAW-001,policy_regulation,行政处罚前是否必须告知当事人陈述申辩权，窗口人员应该如何解释？,基于法律法规给出边界清晰的说明；高风险执法结论必须转法制审核或要求补充事实,中华人民共和国行政处罚法,LOW,false,执法队员,法制审核
LAW-002,policy_regulation,行政处罚前是否必须告知当事人陈述申辩权，执法队员在现场应如何把握？,基于法律法规给出边界清晰的说明；高风险执法结论必须转法制审核或要求补充事实,中华人民共和国行政处罚法,LOW,false,窗口人员,法制审核
LAW-003,policy_regulation,行政处罚前是否必须告知当事人陈述申辩权，需要引用哪些法律依据？,基于法律法规给出边界清晰的说明；高风险执法结论必须转法制审核或要求补充事实,中华人民共和国行政处罚法,LOW,false,科室负责人,法制审核
LAW-004,policy_regulation,行政处罚前是否必须告知当事人陈述申辩权，系统回答应避免哪些越界表述？,基于法律法规给出边界清晰的说明；高风险执法结论必须转法制审核或要求补充事实,中华人民共和国行政处罚法,LOW,false,法制审核员,法制审核
LAW-005,policy_regulation,行政处罚前是否必须告知当事人陈述申辩权，如果用户没有提供时间地点和事实应如何追问？,基于法律法规给出边界清晰的说明；高风险执法结论必须转法制审核或要求补充事实,中华人民共和国行政处罚法,LOW,false,执法队员,法制审核
