case_id,category,question,expected_behavior,expected_source,risk_level,review_required,owner,judge_role
ANA-001,analysis,请对本周投诉高发街道成因分析并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,投诉指标+巡查指标+业务制度,LOW,false,科室负责人,业务负责人
ANA-002,analysis,请对本月投诉高发街道成因分析并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,投诉指标+巡查指标+业务制度,LOW,false,分管领导,业务负责人
ANA-003,analysis,请对2026年4月投诉高发街道成因分析并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,投诉指标+巡查指标+业务制度,LOW,false,业务负责人,业务负责人
ANA-004,analysis,请对最近7天投诉高发街道成因分析并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,投诉指标+巡查指标+业务制度,LOW,false,街道管理员,业务负责人
ANA-005,analysis,请对本周超期案件趋势分析并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,案件状态指标+办理流程,LOW,false,科室负责人,业务负责人
ANA-006,analysis,请对本月超期案件趋势分析并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,案件状态指标+办理流程,LOW,false,分管领导,业务负责人
ANA-007,analysis,请对2026年4月超期案件趋势分析并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,案件状态指标+办理流程,LOW,false,业务负责人,业务负责人
ANA-008,analysis,请对最近7天超期案件趋势分析并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,案件状态指标+办理流程,LOW,false,街道管理员,业务负责人
ANA-009,analysis,请对本周巡查问题网格治理建议并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,巡查指标+网格责任规则,LOW,false,科室负责人,业务负责人
ANA-010,analysis,请对本月巡查问题网格治理建议并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,巡查指标+网格责任规则,LOW,false,分管领导,业务负责人
ANA-011,analysis,请对2026年4月巡查问题网格治理建议并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,巡查指标+网格责任规则,LOW,false,业务负责人,业务负责人
ANA-012,analysis,请对最近7天巡查问题网格治理建议并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,巡查指标+网格责任规则,LOW,false,街道管理员,业务负责人
ANA-013,analysis,请对本周重点区域市容问题复盘并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,投诉指标+市容责任区制度,LOW,false,科室负责人,业务负责人
ANA-014,analysis,请对本月重点区域市容问题复盘并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,投诉指标+市容责任区制度,LOW,false,分管领导,业务负责人
ANA-015,analysis,请对2026年4月重点区域市容问题复盘并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,投诉指标+市容责任区制度,LOW,false,业务负责人,业务负责人
ANA-016,analysis,请对最近7天重点区域市容问题复盘并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,投诉指标+市容责任区制度,LOW,false,街道管理员,业务负责人
ANA-017,analysis,请对本周综合执法风险研判并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,风险事件+法制审核记录,LOW,false,科室负责人,业务负责人
ANA-018,analysis,请对本月综合执法风险研判并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,风险事件+法制审核记录,LOW,false,分管领导,业务负责人
ANA-019,analysis,请对2026年4月综合执法风险研判并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,风险事件+法制审核记录,LOW,false,业务负责人,业务负责人
ANA-020,analysis,请对最近7天综合执法风险研判并给出改进建议,生成计划步骤，先做数据查询预览，再结合知识引用输出结论；说明数据范围和不确定性,风险事件+法制审核记录,LOW,false,街道管理员,业务负责人
