case_id,category,question,expected_metric,expected_dimensions,expected_time_scope,expected_permission_rule,expected_behavior,judge_role
DAT-001,data_query,查询本周各街道投诉数量排行,complaint_count,street_name,本周,追加当前周日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-002,data_query,查询本月各街道投诉数量排行,complaint_count,street_name,本月,追加当前月日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-003,data_query,查询2026年4月各街道投诉数量排行,complaint_count,street_name,2026年4月,使用 2026-04-01 至 2026-04-30，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-004,data_query,查询最近7天各街道投诉数量排行,complaint_count,street_name,最近7天,追加最近7天日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-005,data_query,查询本周各网格投诉数量排行,complaint_count,grid_name,本周,追加当前周日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-006,data_query,查询本月各网格投诉数量排行,complaint_count,grid_name,本月,追加当前月日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-007,data_query,查询2026年4月各网格投诉数量排行,complaint_count,grid_name,2026年4月,使用 2026-04-01 至 2026-04-30，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-008,data_query,查询最近7天各网格投诉数量排行,complaint_count,grid_name,最近7天,追加最近7天日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-009,data_query,查询本周不同状态投诉数量排行,complaint_count,status,本周,追加当前周日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-010,data_query,查询本月不同状态投诉数量排行,complaint_count,status,本月,追加当前月日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-011,data_query,查询2026年4月不同状态投诉数量排行,complaint_count,status,2026年4月,使用 2026-04-01 至 2026-04-30，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-012,data_query,查询最近7天不同状态投诉数量排行,complaint_count,status,最近7天,追加最近7天日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-013,data_query,查询本周各区域投诉数量排行,complaint_count,region_code,本周,追加当前周日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-014,data_query,查询本月各区域投诉数量排行,complaint_count,region_code,本月,追加当前月日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-015,data_query,查询2026年4月各区域投诉数量排行,complaint_count,region_code,2026年4月,使用 2026-04-01 至 2026-04-30，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-016,data_query,查询最近7天各区域投诉数量排行,complaint_count,region_code,最近7天,追加最近7天日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_complaint_order.complaint_count 汇总结果和口径说明,数据治理
DAT-017,data_query,查询本周各街道巡查问题数量排行,inspection_problem_count,street_name,本周,追加当前周日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_inspection_record.inspection_problem_count 汇总结果和口径说明,数据治理
DAT-018,data_query,查询本月各街道巡查问题数量排行,inspection_problem_count,street_name,本月,追加当前月日期过滤，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_inspection_record.inspection_problem_count 汇总结果和口径说明,数据治理
DAT-019,data_query,查询2026年4月各街道巡查问题数量排行,inspection_problem_count,street_name,2026年4月,使用 2026-04-01 至 2026-04-30，仅访问授权字段并追加 region_code 过滤,生成只读 SQL 预览，执行后返回 fact_inspection_record.inspection_problem_count 汇总结果和口径说明,数据治理
