filename|title|category|source_org|document_number|effective_from|summary|region_code
shaoxing-city-appearance-sanitation-regulation.md|绍兴市市容和环境卫生管理规定|law|绍兴市人大常委会|绍兴市地方性法规（2017）|2017-11-09|绍兴市范围内市容秩序、环境卫生责任、设施维护和执法依据的地方性规范|shaoxing-city
shaoxing-urban-garbage-sorting-measures-2020.md|绍兴市城镇生活垃圾分类管理办法|law|绍兴市人民政府|绍政发〔2020〕15号|2020-10-09|绍兴市生活垃圾分类投放、分类收运、定时定点与责任区管理规则|shaoxing-city
keqiao-administrative-law-enforcement-white-paper-2024.md|柯桥区行政执法白皮书（2024年）|policy|绍兴市柯桥区司法局|柯桥区行政执法年度报告（2024）|2025-02-27|柯桥区行政执法主体规模、亮码检查、综合查一次和过罚相当机制总结|shaoxing-keqiao
keqiao-urban-management-work-summary-2025.md|柯桥区综合行政执法局2025年上半年工作总结和下半年工作思路|policy|绍兴市柯桥区综合行政执法局|330621ZF530000/2025-80519|2025-06-23|柯桥区当前城市治理重点，包括马路市场、油烟治理、垃圾分类、违建整治和建筑垃圾管控|shaoxing-keqiao
keqiao-construction-waste-e-manifest-guide-2024.md|关于建筑垃圾处理方案备案和运行电子联单的操作指南|business|绍兴市柯桥区综合行政执法局|330621ZF530000/2024-75718|2024-07-15|柯桥区建筑垃圾处理方案备案、电子联单运行和资料模板使用说明|shaoxing-keqiao
keqiao-smart-city-management-center.md|绍兴市柯桥区智慧城管中心|business|绍兴市柯桥区综合行政执法局|330621ZF530000/2021-51072|2021-06-30|柯桥区智慧城管问题采集、派遣、核查、分析评价和系统运维职责|shaoxing-keqiao
keqiao-civilized-construction-rules-2022.md|绍兴市柯桥区建设工程文明施工管理细则|law|绍兴市柯桥区住房和城乡建设局|柯桥区建设施工规范（2022）|2022-04-27|柯桥区工地渣土运输、泥浆处置、噪声控制和施工现场卫生管理要求|shaoxing-keqiao
keqiao-idle-land-appearance-governance-2025.md|柯桥区空闲地块城市风貌提升治理口径|policy|绍兴市柯桥区综合行政执法局业务资料整理|柯桥空闲地块治理口径（2025）|2025-06-23|空闲地块城市风貌提升、裸土覆盖、荒草整治、垃圾渣土清理、临时利用和闲置土地答复边界|shaoxing-keqiao
keqiao-catering-oil-fume-governance-2025.md|柯桥区餐饮油烟治理业务口径|policy|绍兴市柯桥区综合行政执法局业务资料整理|柯桥餐饮油烟治理口径（2025）|2025-06-23|餐饮油烟一户一档、包点防治、美丽码、二次净化、GB18483标准和智能问数口径|shaoxing-keqiao
keqiao-city-appearance-scenario-governance-2026.md|柯桥区市容环境与城管事项治理口径|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥市容环境事项治理口径（2026）|2026-05-02|乱堆物堆料、积存垃圾渣土、暴露垃圾、垃圾满溢、绿地脏乱、河道垃圾、沿街晾挂、露天烧烤、违规户外广告、人群聚集、道路积水、打包垃圾等事项处置口径|shaoxing-keqiao
keqiao-city-appearance-scenario-qa-2026.md|柯桥区市容环境与城管事项问答库（2026）|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥市容环境事项问答库（2026）|2026-05-02|覆盖18类市容环境和城管事项，每类22组问答，总计396组问答，用于群众咨询、派单、核查、处置、复查和反馈召回|shaoxing-keqiao
keqiao-city-management-public-source-supplement-2026.md|柯桥区市容环境与城管事项公开资料补充索引（2026）|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥公开资料补充索引（2026）|2026-05-02|补充市容环境、垃圾分类、河道管理、排水防涝、群众性活动、餐饮油烟、空闲地块等公开资料来源和适用事项|shaoxing-keqiao
keqiao-city-management-qa-extension-2026-vol1.md|柯桥区市容环境与城管事项扩展问答库（2026）第1卷|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥事项扩展问答库第1卷（2026）|2026-05-02|覆盖市容环境、乱堆物堆料、积存垃圾渣土、暴露垃圾、垃圾满溢、绿地脏乱6类事项，每类新增100组问答|shaoxing-keqiao
keqiao-city-management-qa-extension-2026-vol2.md|柯桥区市容环境与城管事项扩展问答库（2026）第2卷|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥事项扩展问答库第2卷（2026）|2026-05-02|覆盖河道垃圾、河道漂浮物、焚烧垃圾、沿街晾挂、占道撑伞、露天烧烤6类事项，每类新增100组问答|shaoxing-keqiao
keqiao-city-management-qa-extension-2026-vol3.md|柯桥区市容环境与城管事项扩展问答库（2026）第3卷|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥事项扩展问答库第3卷（2026）|2026-05-02|覆盖违规户外广告、人群聚集、道路积水、打包垃圾、空闲地块、餐饮油烟6类事项，每类新增100组问答|shaoxing-keqiao
keqiao-city-management-public-source-supplement-2026-vol2.md|柯桥区市容环境与城管事项公开资料补充索引（2026）第2卷|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥公开资料补充索引第2卷（2026）|2026-05-02|补充户外广告、群体活动、道路积水、餐饮油烟、空闲地块等事项的公开资料来源和适用说明。|shaoxing-keqiao
keqiao-city-management-qa-extension-2026-vol4.md|柯桥区市容环境与城管事项扩展问答库（2026）第4卷|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥事项扩展问答库第4卷（2026）|2026-05-02|覆盖市容环境、乱堆物堆料、积存垃圾渣土3类事项，每类新增300组问答。|shaoxing-keqiao
keqiao-city-management-qa-extension-2026-vol5.md|柯桥区市容环境与城管事项扩展问答库（2026）第5卷|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥事项扩展问答库第5卷（2026）|2026-05-02|覆盖暴露垃圾、垃圾满溢、绿地脏乱3类事项，每类新增300组问答。|shaoxing-keqiao
keqiao-city-management-qa-extension-2026-vol6.md|柯桥区市容环境与城管事项扩展问答库（2026）第6卷|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥事项扩展问答库第6卷（2026）|2026-05-02|覆盖河道垃圾、河道漂浮物、焚烧垃圾3类事项，每类新增300组问答。|shaoxing-keqiao
keqiao-city-management-qa-extension-2026-vol7.md|柯桥区市容环境与城管事项扩展问答库（2026）第7卷|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥事项扩展问答库第7卷（2026）|2026-05-02|覆盖沿街晾挂、占道撑伞、露天烧烤3类事项，每类新增300组问答。|shaoxing-keqiao
keqiao-city-management-qa-extension-2026-vol8.md|柯桥区市容环境与城管事项扩展问答库（2026）第8卷|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥事项扩展问答库第8卷（2026）|2026-05-02|覆盖违规户外广告、人群聚集、道路积水3类事项，每类新增300组问答。|shaoxing-keqiao
keqiao-city-management-qa-extension-2026-vol9.md|柯桥区市容环境与城管事项扩展问答库（2026）第9卷|business|绍兴市柯桥区综合行政执法局业务资料整理|柯桥事项扩展问答库第9卷（2026）|2026-05-02|覆盖打包垃圾、空闲地块、餐饮油烟3类事项，每类新增300组问答。|shaoxing-keqiao
keqiao-idle-land-classification-supplement-2026.md|柯桥区空闲地块分类与治理层级补充口径（2026）|policy|绍兴市柯桥区综合行政执法局业务资料整理|柯桥空闲地块分类补充口径（2026）|2026-05-02|补充空闲地块常态管理类、整治提升类、临时利用类、法定认定衔接类等分类答复口径，并说明公开资料边界。|shaoxing-keqiao
